profile_time,exec_time,algorithm,program,strategy,run,total_time,RC
190016,4563050,gp,compress,GI+Random,19,4753066,0.6088946448184176
189742,5452380,gp,compress,GI+Random,20,5642122,0.722787748205512
23997,4225380,gp,csv,GI,1,4249377,1.024544203870307
19268,5819141,gp,csv,GI,2,5838409,1.4076670770266406
19352,4071602,gp,csv,GI,3,4090954,0.986347694968003
19186,3974424,gp,csv,GI,4,3993610,0.9628776119460563
19261,5415915,gp,csv,GI,5,5435176,1.3104457589465466
18898,3411156,gp,csv,GI,6,3430054,0.8270016862853453
19973,4143412,gp,csv,GI,7,4163385,1.0038111398989964
19983,3240226,gp,csv,GI,8,3260209,0.7860512810126777
19102,6414146,gp,csv,GI,9,6433248,1.551085476873491
19237,4424621,gp,csv,GI,10,4443858,1.0714344612687212
19398,5155505,gp,csv,GI,11,5174903,1.2476927498409915
19301,3643106,gp,csv,GI,12,3662407,0.8830230558653749
19405,3481109,gp,csv,GI,13,3500514,0.8439899141137309
19286,3859504,gp,csv,GI,14,3878790,0.9351939855019001
19657,5502169,gp,csv,GI,15,5521826,1.331337469723294
19394,8346733,gp,csv,GI,16,8366127,2.017111432262395
19624,3835485,gp,csv,GI,17,3855109,0.9294843882381476
19335,3726046,gp,csv,GI,18,3745381,0.9030284662518704
19178,4112593,gp,csv,GI,19,4131771,0.9961888601010035
19261,5838460,gp,csv,GI,20,5857721,1.4123232884348407
25494,3914514,gp,csv,GI+Ekstazi,1,3940008,0.9499539249171444
25404,4362911,gp,csv,GI+Ekstazi,2,4388315,1.0580427902742275
25418,3945792,gp,csv,GI+Ekstazi,3,3971210,0.9574768696333137
25555,4886457,gp,csv,GI+Ekstazi,4,4912012,1.1843085289776347
25696,4143068,gp,csv,GI+Ekstazi,5,4168764,1.0051080413677573
25253,4206049,gp,csv,GI+Ekstazi,6,4231302,1.0201862388121452
25320,3735278,gp,csv,GI+Ekstazi,7,3760598,0.9066973544560223
24997,3693123,gp,csv,GI+Ekstazi,8,3718120,0.8964557146363492
25111,3062623,gp,csv,GI+Ekstazi,9,3087734,0.744466770727398
25521,5266603,gp,csv,GI+Ekstazi,10,5292124,1.2759552683517947
25050,4400401,gp,csv,GI+Ekstazi,11,4425451,1.0669964494941384
25769,4260362,gp,csv,GI+Ekstazi,12,4286131,1.0334057611454204
25594,3240002,gp,csv,GI+Ekstazi,13,3265596,0.7873501113179788
25546,4027926,gp,csv,GI+Ekstazi,14,4053472,0.9773106135677255
25515,4470053,gp,csv,GI+Ekstazi,15,4495568,1.0839019784558603
24849,7512324,gp,csv,GI+Ekstazi,16,7537173,1.8172468365875216
25489,7464854,gp,csv,GI+Ekstazi,17,7490343,1.8059559096899442
25390,3886439,gp,csv,GI+Ekstazi,18,3911829,0.9431598393086278
25345,5629043,gp,csv,GI+Ekstazi,19,5654388,1.3632987734046231
25764,5178411,gp,csv,GI+Ekstazi,20,5204175,1.254750362741822
37338,3962350,gp,csv,GI+STARTS,1,3999688,0.9643430455075227
38446,4172828,gp,csv,GI+STARTS,2,4211274,1.0153573965335914
38001,3975285,gp,csv,GI+STARTS,3,4013286,0.9676215854168384
38326,3537375,gp,csv,GI+STARTS,4,3575701,0.8621178432328458
38617,5838500,gp,csv,GI+STARTS,5,5877117,1.4169997526267137
37793,3475909,gp,csv,GI+STARTS,6,3513702,0.8471696011503581
40549,4042627,gp,csv,GI+STARTS,7,4083176,0.9844723836417302
38952,3779725,gp,csv,GI+STARTS,8,3818677,0.92070046663378
39855,2843932,gp,csv,GI+STARTS,9,2883787,0.695294217492715
39418,3850770,gp,csv,GI+STARTS,10,3890188,0.937942095362643
39365,5461503,gp,csv,GI+STARTS,11,5500868,1.3262844001969343
38724,3813411,gp,csv,GI+STARTS,12,3852135,0.9287673432543041
40060,3537059,gp,csv,GI+STARTS,13,3577119,0.8624597295096078
37389,4103922,gp,csv,GI+STARTS,14,4141311,0.9984889976752698
